metric,value
total_rows,1242
total_unique_canonical_cards,1240
scanned_excel_files,655
matched_unique_cards_in_source_folder,1223
unmatched_unique_cards_in_source_folder,17
rows_without_batch,1242
rows_without_city,1242

top_created_day,count
2026-04-01,596
2026-04-12,409
2026-05-11,68
2026-04-06,27
2026-04-02,24
2026-04-09,16
2026-04-20,15
2026-04-15,14
2026-03-27,12
2026-04-23,11
2026-05-10,11
2026-04-19,9
2026-05-17,6
2026-04-28,4
2026-05-13,3
2026-05-14,3
2026-05-06,3
2026-04-30,2
2026-03-26,2
2026-05-16,1
